,entity,tag,Sentence #
0,16.16.5.,0,0
1,The,0,0
2,OPEN,0,0
3,operation,0,0
4,creates,0,0
5,and/or,0,0
6,opens,0,0
7,a,0,0
8,regular,0,0
9,file,0,0
10,in,0,0
11,a,0,0
12,directory,0,0
13,with,0,0
14,the,0,0
15,provided,0,0
16,name,0,0
17,<NULL>.,0,0
18,If,0,1
19,the,0,1
20,file,0,1
21,does,0,1
22,not,0,1
23,exist,0,1
24,at,0,1
25,the,0,1
26,server,0,1
27,and,0,1
28,creation,0,1
29,is,0,1
30,desired,0,1
31,specification,0,1
32,of,0,1
33,the,0,1
34,method,0,1
35,of,0,1
36,creation,0,1
37,is,0,1
38,provided,0,1
39,by,0,1
40,the,0,1
41,openhow,0,1
42,parameter,0,1
43,<NULL>.,0,1
44,The,0,2
45,client,0,2
46,has,0,2
47,the,0,2
48,choice,0,2
49,of,0,2
50,three,0,2
51,creation,0,2
52,methods:,0,2
53,UNCHECKED4,0,2
54,GUARDED4,0,2
55,or,0,2
56,EXCLUSIVE4,0,2
57,If,0,2
58,the,0,2
59,current,Variable,2
60,filehandle,Variable,2
61,is,0,2
62,a,0,2
63,named,Variable,2
64,attribute,Variable,2
65,directory,Variable,2
66,OPEN,0,2
67,will,0,2
68,then,0,2
69,create,0,2
70,or,0,2
71,open,0,2
72,a,0,2
73,named,Value,2
74,attribute,Value,2
75,file,Value,2
76,<NULL>.,0,2
77,Note,0,3
78,that,0,3
79,exclusive,0,3
80,create,0,3
81,of,0,3
82,a,0,3
83,named,0,3
84,attribute,0,3
85,is,0,3
86,not,0,3
87,supported,0,3
88,<NULL>.,0,3
89,If,0,4
90,the,0,4
91,createmode,Variable,4
92,is,0,4
93,EXCLUSIVE4,Value,4
94,and,0,4
95,the,0,4
96,current,Variable,4
97,filehandle,Variable,4
98,is,0,4
99,a,0,4
100,named,Value,4
101,attribute,Value,4
102,directory,Value,4
103,the,0,4
104,server,0,4
105,will,0,4
106,return,0,4
107,EINVAL,Value,4
108,<NULL>,Variable,4
109,UNCHECKED4,Variable,5
110,means,0,5
111,that,0,5
112,the,0,5
113,file,0,5
114,should,0,5
115,be,0,5
116,created,0,5
117,if,0,5
118,a,0,5
119,file,0,5
120,of,0,5
121,that,0,5
122,name,0,5
123,does,0,5
124,not,0,5
125,exist,0,5
126,and,0,5
127,encountering,0,5
128,an,0,5
129,existing,0,5
130,regular,0,5
131,file,0,5
132,of,0,5
133,that,0,5
134,name,0,5
135,is,0,5
136,not,0,5
137,an,0,5
138,error,0,5
139,<NULL>.,0,5
140,For,0,6
141,this,0,6
142,type,0,6
143,of,0,6
144,create,0,6
145,createattrs,0,6
146,specifies,0,6
147,the,0,6
148,initial,0,6
149,set,0,6
150,of,0,6
151,attributes,0,6
152,for,0,6
153,the,0,6
154,file,0,6
155,<NULL>.,0,6
156,The,0,7
157,set,0,7
158,of,0,7
159,attributes,0,7
160,may,0,7
161,include,0,7
162,any,0,7
163,writable,0,7
164,attribute,0,7
165,valid,0,7
166,for,0,7
167,regular,0,7
168,files,0,7
169,<NULL>.,0,7
170,When,0,8
171,an,0,8
172,UNCHECKED4,Variable,8
173,create,0,8
174,encounters,0,8
175,an,0,8
176,existing,Value,8
177,file,Value,8
178,the,0,8
179,attributes,Variable,8
180,specified,0,8
181,by,0,8
182,createattrs,Value,8
183,are,0,8
184,not,0,8
185,used,0,8
186,except,0,8
187,that,0,8
188,when,0,8
189,a,0,8
190,size,Variable,8
191,of,0,8
192,zero,Value,8
193,is,0,8
194,specified,0,8
195,the,0,8
196,existing,Variable,8
197,file,Variable,8
198,is,0,8
199,truncated,0,8
200,<NULL>.,0,8
201,If,0,9
202,GUARDED4,Variable,9
203,is,0,9
204,specified,0,9
205,the,0,9
206,server,0,9
207,checks,0,9
208,for,0,9
209,the,0,9
210,presence,0,9
211,of,0,9
212,a,0,9
213,duplicate,0,9
214,object,0,9
215,by,0,9
216,name,0,9
217,before,0,9
218,performing,0,9
219,the,0,9
220,create,0,9
221,<NULL>.,0,9
222,If,0,10
223,a,0,10
224,duplicate,Value,10
225,exists,0,10
226,an,0,10
227,error,0,10
228,of,0,10
229,NFS4ERR_EXIST,Value,10
230,is,0,10
231,returned,0,10
232,as,0,10
233,the,0,10
234,status,Variable,10
235,<NULL>.,0,10
236,If,0,11
237,the,0,11
238,object,0,11
239,does,0,11
240,not,0,11
241,exist,0,11
242,the,0,11
243,request,0,11
244,is,0,11
245,performed,0,11
246,as,0,11
247,described,0,11
248,for,0,11
249,UNCHECKED4,0,11
250,<NULL>.,0,11
251,For,0,12
252,each,0,12
253,of,0,12
254,these,0,12
255,cases,0,12
256,UNCHECKED4,Variable,12
257,and,0,12
258,GUARDED4,Variable,12
259,,0,12
260,where,0,12
261,the,0,12
262,operation,Variable,12
263,is,0,12
264,successful,Value,12
265,the,0,12
266,server,0,12
267,will,0,12
268,return,0,12
269,to,0,12
270,the,0,12
271,client,0,12
272,an,0,12
273,attribute,0,12
274,mask,0,12
275,signifying,0,12
276,which,0,12
277,attributes,0,12
278,were,0,12
279,successfully,0,12
280,set,0,12
281,for,0,12
282,the,0,12
283,object,0,12
284,EXCLUSIVE4,Variable,12
285,specifies,0,12
286,that,0,12
287,the,0,12
288,server,0,12
289,is,0,12
290,to,0,12
291,follow,0,12
292,exclusive,0,12
293,creation,0,12
294,semantics,0,12
295,using,0,12
296,the,0,12
297,verifier,0,12
298,to,0,12
299,ensure,0,12
300,exclusive,0,12
301,creation,0,12
302,of,0,12
303,the,0,12
304,target,0,12
305,<NULL>.,0,12
306,The,0,13
307,server,0,13
308,should,0,13
309,check,0,13
310,for,0,13
311,the,0,13
312,presence,0,13
313,of,0,13
314,a,0,13
315,duplicate,0,13
316,object,0,13
317,by,0,13
318,name,0,13
319,<NULL>.,0,13
320,If,0,14
321,the,0,14
322,object,Variable,14
323,does,0,14
324,not,0,14
325,exist,0,14
326,the,0,14
327,server,0,14
328,creates,0,14
329,the,0,14
330,object,0,14
331,and,0,14
332,stores,0,14
333,the,0,14
334,verifier,0,14
335,with,0,14
336,the,0,14
337,object,0,14
338,<NULL>.,0,14
339,If,0,15
340,the,0,15
341,object,Variable,15
342,does,0,15
343,exist,0,15
344,and,0,15
345,the,0,15
346,stored,Variable,15
347,verifier,Variable,15
348,matches,0,15
349,the,0,15
350,verifier,Variable,15
351,provided,Variable,15
352,by,Variable,15
353,the,Variable,15
354,client,Variable,15
355,the,0,15
356,server,0,15
357,uses,0,15
358,the,0,15
359,existing,Value,15
360,object,Value,15
361,as,0,15
362,the,0,15
363,newly,Variable,15
364,created,Variable,15
365,object,Variable,15
366,<NULL>.,0,15
367,If,0,16
368,the,0,16
369,stored,Variable,16
370,verifier,Variable,16
371,does,0,16
372,not,0,16
373,match,0,16
374,then,0,16
375,an,0,16
376,error,0,16
377,of,0,16
378,NFS4ERR_EXIST,Value,16
379,is,0,16
380,returned,0,16
381,<NULL>,Variable,16
382,No,0,17
383,attributes,0,17
384,may,0,17
385,be,0,17
386,provided,0,17
387,in,0,17
388,this,0,17
389,case,0,17
390,since,0,17
391,the,0,17
392,server,0,17
393,may,0,17
394,use,0,17
395,an,0,17
396,attribute,0,17
397,of,0,17
398,the,0,17
399,target,0,17
400,object,0,17
401,to,0,17
402,store,0,17
