,entity,tag
0,16.16.5.,0
1,,0
2,The,0
3,OPEN,0
4,operation,0
5,creates,0
6,and/or,0
7,opens,0
8,a,0
9,regular,0
10,file,0
11,in,0
12,a,0
13,directory,0
14,with,0
15,the,0
16,provided,0
17,name,0
18,<NULL>.,0
19,,0
20,If,0
21,the,0
22,file,0
23,does,0
24,not,0
25,exist,0
26,at,0
27,the,0
28,server,0
29,and,0
30,creation,0
31,is,0
32,"desired,",0
33,specification,0
34,of,0
35,the,0
36,method,0
37,of,0
38,creation,0
39,is,0
40,provided,0
41,by,0
42,the,0
43,openhow,0
44,parameter,0
45,<NULL>.,0
46,,0
47,The,0
48,client,0
49,has,0
50,the,0
51,choice,0
52,of,0
53,three,0
54,creation,0
55,methods:,0
56,"UNCHECKED4,",0
57,"GUARDED4,",0
58,or,0
59,EXCLUSIVE4,0
60,If,0
61,the,0
62,current filehandle,Variable
63,is,0
64,a,0
65,named attribute directory,Variable
66,,0
67,OPEN,0
68,will,0
69,then,0
70,create,0
71,or,0
72,open,0
73,a,0
74,named attribute file,Value
75,<NULL>.,0
76,,0
77,Note,0
78,that,0
79,exclusive,0
80,create,0
81,of,0
82,a,0
83,named,0
84,attribute,0
85,is,0
86,not,0
87,supported,0
88,<NULL>.,0
89,,0
90,If,0
91,the,0
92,createmode,Variable
93,is,0
94,EXCLUSIVE4,Value
95,and,0
96,the,0
97,current filehandle,Variable
98,is,0
99,a,0
100,named attribute directory,Value
101,,0
102,the,0
103,server,0
104,will,0
105,return,0
106,EINVAL,Value
107,<NULL>,Variable
108,UNCHECKED4,Variable
109,means,0
110,that,0
111,the,0
112,file,0
113,should,0
114,be,0
115,created,0
116,if,0
117,a,0
118,file,0
119,of,0
120,that,0
121,name,0
122,does,0
123,not,0
124,exist,0
125,and,0
126,encountering,0
127,an,0
128,existing,0
129,regular,0
130,file,0
131,of,0
132,that,0
133,name,0
134,is,0
135,not,0
136,an,0
137,error,0
138,<NULL>.,0
139,,0
140,For,0
141,this,0
142,type,0
143,of,0
144,"create,",0
145,createattrs,0
146,specifies,0
147,the,0
148,initial,0
149,set,0
150,of,0
151,attributes,0
152,for,0
153,the,0
154,file,0
155,<NULL>.,0
156,,0
157,The,0
158,set,0
159,of,0
160,attributes,0
161,may,0
162,include,0
163,any,0
164,writable,0
165,attribute,0
166,valid,0
167,for,0
168,regular,0
169,files,0
170,<NULL>.,0
171,,0
172,When,0
173,an,0
174,UNCHECKED4,Variable
175,create,0
176,encounters,0
177,an,0
178,existing file,Value
179,,0
180,the,0
181,attributes,Variable
182,specified,0
183,by,0
184,createattrs,Value
185,are,0
186,not,0
187,"used,",0
188,except,0
189,that,0
190,when,0
191,a,0
192,size,Variable
193,of,0
194,zero,Value
195,is,0
196,"specified,",0
197,the,0
198,existing file,Variable
199,is,0
200,truncated,0
201,<NULL>.,0
202,,0
203,If,0
204,GUARDED4,Variable
205,is,0
206,"specified,",0
207,the,0
208,server,0
209,checks,0
210,for,0
211,the,0
212,presence,0
213,of,0
214,a,0
215,duplicate,0
216,object,0
217,by,0
218,name,0
219,before,0
220,performing,0
221,the,0
222,create,0
223,<NULL>.,0
224,,0
225,If,0
226,a,0
227,duplicate,Value
228,"exists,",0
229,an,0
230,error,0
231,of,0
232,NFS4ERR_EXIST,Value
233,is,0
234,returned,0
235,as,0
236,the,0
237,status,Variable
238,<NULL>.,0
239,,0
240,If,0
241,the,0
242,object,0
243,does,0
244,not,0
245,"exist,",0
246,the,0
247,request,0
248,is,0
249,performed,0
250,as,0
251,described,0
252,for,0
253,UNCHECKED4,0
254,<NULL>.,0
255,,0
256,For,0
257,each,0
258,of,0
259,these,0
260,cases,0
261,(UNCHECKED4,Variable
262,and,0
263,GUARDED4,Variable
264,",",0
265,where,0
266,the,0
267,operation,Variable
268,is,0
269,successful,Value
270,,0
271,the,0
272,server,0
273,will,0
274,return,0
275,to,0
276,the,0
277,client,0
278,an,0
279,attribute,0
280,mask,0
281,signifying,0
282,which,0
283,attributes,0
284,were,0
285,successfully,0
286,set,0
287,for,0
288,the,0
289,object,0
290,EXCLUSIVE4,Variable
291,specifies,0
292,that,0
293,the,0
294,server,0
295,is,0
296,to,0
297,follow,0
298,exclusive,0
299,creation,0
300,"semantics,",0
301,using,0
302,the,0
303,verifier,0
304,to,0
305,ensure,0
306,exclusive,0
307,creation,0
308,of,0
309,the,0
310,target,0
311,<NULL>.,0
312,,0
313,The,0
314,server,0
315,should,0
316,check,0
317,for,0
318,the,0
319,presence,0
320,of,0
321,a,0
322,duplicate,0
323,object,0
324,by,0
325,name,0
326,<NULL>.,0
327,,0
328,If,0
329,the,0
330,object,Variable
331,does,0
332,not,0
333,"exist,",0
334,the,0
335,server,0
336,creates,0
337,the,0
338,object,0
339,and,0
340,stores,0
341,the,0
342,verifier,0
343,with,0
344,the,0
345,object,0
346,<NULL>.,0
347,,0
348,If,0
349,the,0
350,object,Variable
351,does,0
352,exist,0
353,and,0
354,the,0
355,stored verifier,Variable
356,matches,0
357,the,0
358,verifier provided by the client,Variable
359,,0
360,the,0
361,server,0
362,uses,0
363,the,0
364,existing object,Value
365,as,0
366,the,0
367,newly created object,Variable
368,<NULL>.,0
369,,0
370,If,0
371,the,0
372,stored verifier,Variable
373,does,0
374,not,0
375,"match,",0
376,then,0
377,an,0
378,error,0
379,of,0
380,NFS4ERR_EXIST,Value
381,is,0
382,returned,0
383,<NULL>,Variable
384,,0
385,,0
386,No,0
387,attributes,0
388,may,0
389,be,0
390,provided,0
391,in,0
392,this,0
393,"case,",0
394,since,0
395,the,0
396,server,0
397,may,0
398,use,0
399,an,0
400,attribute,0
401,of,0
402,the,0
403,target,0
404,object,0
405,to,0
406,store,0
407,the,0
408,verifier,0
409,<NULL>.,0
410,,0
411,If,0
412,the,0
413,server,0
414,uses,0
415,an,0
416,attribute,0
417,to,0
418,store,0
419,the,0
420,exclusive,0
421,create,0
422,"verifier,",0
423,it,0
424,will,0
425,signify,0
426,which,0
427,attribute,0
428,was,0
429,used,0
430,by,0
431,setting,0
432,the,0
433,appropriate,0
434,bit,0
435,in,0
436,the,0
437,attribute,0
438,mask,0
439,that,0
440,is,0
441,returned,0
442,in,0
443,the,0
444,results,0
445,For,0
446,the,0
447,target,0
448,"directory,",0
449,the,0
450,server,0
451,returns,0
452,change_info4,0
453,information,0
454,in,0
455,cinfo,0
456,<NULL>.,0
457,,0
458,With,0
459,the,0
460,atomic,0
461,field,0
462,of,0
463,the,0
464,change_info4,0
465,"struct,",0
466,the,0
467,server,0
468,will,0
469,indicate,0
470,if,0
471,the,0
472,before,0
473,and,0
474,after,0
475,change,0
476,attributes,0
477,were,0
478,obtained,0
479,atomically,0
480,with,0
481,respect,0
482,to,0
483,the,0
484,link,0
485,creation,0
486,<NULL>.,0
487,,0
488,Upon,0
489,successful,0
490,"creation,",0
491,the,0
492,current,0
493,filehandle,0
494,is,0
495,replaced,0
496,by,0
497,that,0
498,of,0
499,the,0
500,new,0
501,object,0
502,The,0
503,OPEN,0
504,operation,0
505,provides,0
506,for,0
507,Windows,0
508,share,0
509,reservation,0
510,capability,0
511,with,0
512,the,0
513,use,0
514,of,0
515,the,0
516,share_access,0
517,and,0
518,share_deny,0
519,fields,0
520,of,0
521,the,0
522,OPEN,0
523,arguments,0
524,<NULL>.,0
525,,0
526,The,0
527,client,0
528,specifies,0
529,at,0
530,OPEN,0
531,the,0
532,required,0
533,share_access,0
534,and,0
535,share_deny,0
536,modes,0
537,<NULL>.,0
538,,0
539,For,0
540,clients,0
541,that,0
542,do,0
543,not,0
544,directly,0
545,support,0
546,SHAREs,0
547,"(i.e.,",0
548,"UNIX),",0
549,the,0
550,expected,0
551,deny,0
552,value,0
553,is,0
554,DENY_NONE,0
555,<NULL>.,0
556,,0
557,In,0
558,the,0
559,case,0
560,that,0
561,there,0
562,is,0
563,an,0
564,existing,0
565,share,0
566,reservation,0
567,that,0
568,conflicts,0
569,with,0
570,the,0
571,OPEN,0
572,"request,",0
573,the,0
574,server,0
575,returns,0
576,the,0
577,error,0
578,NFS4ERR_SHARE_DENIED,0
579,<NULL>.,0
580,,0
581,For,0
582,a,0
583,complete,0
584,SHARE,0
585,"request,",0
586,the,0
587,client,0
588,must,0
589,provide,0
590,values,0
591,for,0
592,the,0
593,owner,0
594,and,0
595,seqid,0
596,fields,0
597,for,0
598,the,0
599,OPEN,0
600,argument,0
601,<NULL>.,0
602,,0
603,For,0
604,additional,0
605,discussion,0
606,of,0
607,share,0
608,"semantics,",0
609,see,0
610,Section,0
611,9.9,0
612,In,0
613,the,0
614,case,0
615,that,0
616,the,0
617,client,0
618,is,0
619,recovering,0
620,state,0
621,from,0
622,a,0
623,server,0
624,"failure,",0
625,the,0
626,claim,0
627,field,0
628,of,0
629,the,0
630,OPEN,0
631,argument,0
632,is,0
633,used,0
634,to,0
635,signify,0
636,that,0
637,the,0
638,request,0
639,is,0
640,meant,0
641,to,0
642,reclaim,0
643,state,0
644,previously,0
645,held,0
646,<NULL>.,0
647,,0
648,The,0
649,claim,0
650,field,0
651,of,0
652,the,0
653,OPEN,0
654,argument,0
655,is,0
656,used,0
657,to,0
658,specify,0
659,the,0
660,file,0
661,to,0
662,be,0
663,opened,0
664,and,0
665,the,0
666,state,0
667,information,0
668,that,0
669,the,0
670,client,0
671,claims,0
672,to,0
673,possess,0
674,<NULL>.,0
675,,0
676,There,0
677,are,0
678,four,0
679,basic,0
680,claim,0
681,types,0
682,that,0
683,cover,0
684,the,0
685,various,0
686,situations,0
687,for,0
688,an,0
689,OPEN,0
690,<NULL>.,0
691,,0
692,They,0
693,are,0
694,as,0
695,CLAIM_NULL:,0
696,,0
697,For,0
698,the,0
699,"client,",0
700,this,0
701,is,0
702,a,0
703,new,0
704,OPEN,0
705,"request,",0
706,and,0
707,there,0
708,is,0
709,no,0
710,previous,0
711,state,0
712,associated,0
713,with,0
714,the,0
715,file,0
716,for,0
717,the,0
718,client,0
719,CLAIM_PREVIOUS:,0
720,,0
721,The,0
722,client,0
723,is,0
724,claiming,0
725,basic,0
726,OPEN,0
727,state,0
728,for,0
729,a,0
730,file,0
731,that,0
732,was,0
733,held,0
734,previous,0
735,to,0
736,a,0
737,server,0
738,reboot,0
739,<NULL>.,0
740,,0
741,This,0
742,is,0
743,generally,0
744,used,0
745,when,0
746,a,0
747,server,0
748,is,0
749,returning,0
750,persistent,0
751,filehandles;,0
752,the,0
753,client,0
754,may,0
755,not,0
756,have,0
757,the,0
758,filename,0
759,to,0
760,reclaim,0
761,the,0
762,OPEN,0
763,CLAIM_DELEGATE_CUR:,0
764,,0
765,The,0
766,client,0
767,is,0
768,claiming,0
769,a,0
770,delegation,0
771,for,0
772,OPEN,0
773,as,0
774,granted,0
775,by,0
776,the,0
777,server,0
778,<NULL>.,0
779,,0
780,This,0
781,is,0
782,generally,0
783,done,0
784,as,0
785,part,0
786,of,0
787,recalling,0
788,a,0
789,delegation,0
790,CLAIM_DELEGATE_PREV:,0
791,,0
792,The,0
793,client,0
794,is,0
795,claiming,0
796,a,0
797,delegation,0
798,granted,0
799,to,0
800,a,0
801,previous,0
802,client,0
803,instance,0
804,<NULL>.,0
805,,0
806,This,0
807,claim,0
808,type,0
809,is,0
810,for,0
811,use,0
812,after,0
813,a,0
814,SETCLIENTID_CONFIRM,0
815,and,0
816,before,0
817,the,0
818,corresponding,0
819,DELEGPURGE,0
820,in,0
821,two,0
822,situations:,0
823,after,0
824,a,0
825,client,0
826,reboot,0
827,and,0
828,after,0
829,a,0
830,lease,0
831,expiration,0
832,that,0
833,resulted,0
834,in,0
835,loss,0
836,of,0
837,all,0
838,lock,0
839,state,0
840,<NULL>.,0
841,,0
842,The,0
843,server,0
844,MAY,0
845,support,0
846,CLAIM_DELEGATE_PREV,0
847,<NULL>.,0
848,,0
849,If,0
850,it,0
851,does,0
852,support,0
853,"CLAIM_DELEGATE_PREV,",0
854,SETCLIENTID_CONFIRM,0
855,MUST,0
856,NOT,0
857,remove,0
858,the,0
859,client's,0
860,delegation,0
861,"state,",0
862,and,0
863,the,0
864,server,0
865,MUST,0
866,support,0
867,the,0
868,DELEGPURGE,0
869,operation,0
870,The,0
871,following,0
872,errors,0
873,apply,0
874,to,0
875,use,0
876,of,0
877,the,0
878,CLAIM_DELEGATE_PREV,0
879,claim,0
880,o,0
881,,0
882,NFS4ERR_NOTSUPP,0
883,is,0
884,returned,0
885,if,0
886,the,0
887,server,0
888,does,0
889,not,0
890,support,0
891,this,0
892,claim,0
893,type,0
894,o,0
895,,0
896,NFS4ERR_INVAL,0
897,is,0
898,returned,0
899,if,0
900,the,0
901,reclaim,0
902,is,0
903,done,0
904,at,0
905,an,0
906,inappropriate,0
907,"time,",0
908,"e.g.,",0
909,after,0
910,DELEGPURGE,0
911,has,0
912,been,0
913,done,0
914,o,0
915,,0
916,NFS4ERR_BAD_RECLAIM,0
917,is,0
918,returned,0
919,if,0
920,the,0
921,other,0
922,error,0
923,conditions,0
924,do,0
925,not,0
926,apply,0
927,and,0
928,the,0
929,server,0
930,has,0
931,no,0
932,record,0
933,of,0
934,the,0
935,delegation,0
936,whose,0
937,reclaim,0
938,is,0
939,being,0
940,attempted,0
941,For,0
942,OPEN,0
943,requests,0
944,whose,0
945,claim,0
946,type,0
947,is,0
948,other,0
949,than,0
950,CLAIM_PREVIOUS,0
951,"(i.e.,",0
952,requests,0
953,other,0
954,than,0
955,those,0
956,devoted,0
957,to,0
958,reclaiming,0
959,opens,0
960,after,0
961,a,0
962,server,0
963,reboot),0
964,that,0
965,reach,0
966,the,0
967,server,0
968,during,0
969,its,0
970,grace,0
971,or,0
972,lease,0
973,expiration,0
974,"period,",0
975,the,0
976,server,0
977,returns,0
978,an,0
979,error,0
980,of,0
981,NFS4ERR_GRACE,0
982,For,0
983,any,0
984,OPEN,0
985,"request,",0
986,the,0
987,server,0
988,may,0
989,return,0
990,an,0
991,open,0
992,"delegation,",0
993,which,0
994,allows,0
995,further,0
996,opens,0
997,and,0
998,closes,0
999,to,0
1000,be,0
1001,handled,0
1002,locally,0
1003,on,0
1004,the,0
1005,client,0
1006,as,0
1007,described,0
1008,in,0
1009,Section,0
1010,10.4,0
1011,<NULL>.,0
1012,,0
1013,Note,0
1014,that,0
1015,delegation,0
1016,is,0
1017,up,0
1018,to,0
1019,the,0
1020,server,0
1021,to,0
1022,decide,0
1023,<NULL>.,0
1024,,0
1025,The,0
1026,client,0
1027,should,0
1028,never,0
1029,assume,0
1030,that,0
1031,delegation,0
1032,will,0
1033,or,0
1034,will,0
1035,not,0
1036,be,0
1037,granted,0
1038,in,0
1039,a,0
1040,particular,0
1041,instance,0
1042,<NULL>.,0
1043,,0
1044,It,0
1045,should,0
1046,always,0
1047,be,0
1048,prepared,0
1049,for,0
1050,either,0
1051,case,0
1052,<NULL>.,0
1053,,0
1054,A,0
1055,partial,0
1056,exception,0
1057,is,0
1058,the,0
1059,reclaim,0
1060,(CLAIM_PREVIOUS),0
1061,"case,",0
1062,in,0
1063,which,0
1064,a,0
1065,delegation,0
1066,type,0
1067,is,0
1068,claimed,0
1069,<NULL>.,0
1070,,0
1071,In,0
1072,this,0
1073,"case,",0
1074,delegation,0
1075,will,0
1076,always,0
1077,be,0
1078,"granted,",0
1079,although,0
1080,the,0
1081,server,0
1082,may,0
1083,specify,0
1084,an,0
1085,immediate,0
1086,recall,0
1087,in,0
1088,the,0
1089,delegation,0
1090,structure,0
1091,The,0
1092,rflags,0
1093,returned,0
1094,by,0
1095,a,0
1096,successful,0
1097,OPEN,0
1098,allow,0
1099,the,0
1100,server,0
1101,to,0
1102,return,0
1103,information,0
1104,governing,0
1105,how,0
1106,the,0
1107,open,0
1108,file,0
1109,is,0
1110,to,0
1111,be,0
