,entity,tag,Sentence #,POS
0,16.16.5.,0,0,CD
1,The,0,0,DT
2,OPEN,0,0,JJ
3,operation,0,0,NN
4,creates,0,0,NNS
5,and/or,0,0,NN
6,opens,0,0,NNS
7,a,0,0,DT
8,regular,0,0,JJ
9,file,0,0,NN
10,in,0,0,IN
11,a,0,0,DT
12,directory,0,0,NN
13,with,0,0,IN
14,the,0,0,DT
15,provided,0,0,VBN
16,name,0,0,NN
17,NULL.,0,0,NNP
18,If,0,0,IN
19,the,0,0,DT
20,file,0,0,NN
21,does,0,0,VBZ
22,not,0,0,RB
23,exist,0,0,NN
24,at,0,0,IN
25,the,0,0,DT
26,server,0,0,NN
27,and,0,0,CC
28,creation,0,0,NN
29,is,0,0,VBZ
30,desired,0,0,VBN
31,specification,0,0,NN
32,of,0,0,IN
33,the,0,0,DT
34,method,0,0,NN
35,of,0,0,IN
36,creation,0,0,NN
37,is,0,0,VBZ
38,provided,0,0,VBN
39,by,0,0,IN
40,the,0,0,DT
41,openhow,0,0,NN
42,parameter,0,0,NN
43,NULL.,0,0,NNP
44,The,0,0,DT
45,client,0,0,NN
46,has,0,0,VBZ
47,the,0,0,DT
48,choice,0,0,NN
49,of,0,0,IN
50,three,0,0,CD
51,creation,0,0,NN
52,methods:,0,0,NNS
53,UNCHECKED4,0,0,NN
54,GUARDED4,0,0,NN
55,or,0,0,CC
56,EXCLUSIVE4,0,0,NN
57,If,0,0,IN
58,the,0,0,DT
59,current,Variable,0,JJ
60,filehandle,Variable,0,NN
61,is,0,0,VBZ
62,a,0,0,DT
63,named,Variable,0,VBN
64,attribute,Variable,0,NN
65,directory,Variable,0,NN
66,OPEN,0,0,JJ
67,will,0,0,MD
68,then,0,0,RB
69,create,0,0,NN
70,or,0,0,CC
71,open,0,0,JJ
72,a,0,0,DT
73,named,Value,0,VBN
74,attribute,Value,0,NN
75,file,Value,0,NN
76,NULL.,0,0,NNP
77,Note,0,0,NN
78,that,0,0,IN
79,exclusive,0,0,JJ
80,create,0,0,NN
81,of,0,0,IN
82,a,0,0,DT
83,named,0,0,VBN
84,attribute,0,0,NN
85,is,0,0,VBZ
86,not,0,0,RB
87,supported,0,0,VBN
88,NULL.,0,0,NNP
89,If,0,0,IN
90,the,0,0,DT
91,createmode,Variable,0,NN
92,is,0,0,VBZ
93,EXCLUSIVE4,Value,0,NN
94,and,0,0,CC
95,the,0,0,DT
96,current,Variable,0,JJ
97,filehandle,Variable,0,NN
98,is,0,0,VBZ
99,a,0,0,DT
100,named,Value,0,VBN
101,attribute,Value,0,NN
